Category,Question,Answer,Related Module
Setup & Getting Started,How much does it cost to start?,"Initial costs: Shopify $1 trial then $29-39/month, Printify free (pay per order), Canva free or $13/month for Pro, domain $14/year, email marketing (Klaviyo) free up to 250 subscribers. Total startup: ~$50-100 to launch, then ~$50-100/month in overhead.",Module 1.1
Setup & Getting Started,Do I need an LLC before starting?,"No. Start as a sole proprietor using your SSN. Once you're consistently making $1,000+/month, consider forming an LLC. You can set one up through services like Incfile for $0-50 + state fees.",Module 5.1
Setup & Getting Started,How long does setup take?,Full setup takes 2-4 hours if done in one sitting. Most students break it into 3-4 sessions over a week. You can launch your store in as little as one day if focused.,Module 1.1
Setup & Getting Started,Can I change my niche/brand name later?,"Yes! Nothing is permanent. The brand name, logo, and even niche can all change. Action over perfection. Many successful brands started with different names (Amazon was originally 'Cadabra').",Module 1.2
Setup & Getting Started,What if I'm not good at design?,"You don't need design skills. The course provides AI tools (Design GPT, Design Gem) that create professional designs for you. You're not an artist - you're a brand builder creating products people want to buy.",Module 2.3
Brand & Niche,How do I choose the right niche?,"Use Brand Builder GPT to validate ideas. Good niches: (1) You can connect with it personally, (2) Large enough market (GPT verifies this), (3) Not too broad (everyone) or too narrow (nobody). Think: golf, hiking, nursing, dog owners, camping, etc.",Module 1.2
Brand & Niche,What makes a brand different from a generic POD store?,"A brand has: (1) Clear mission/why (Simon Sinek approach), (2) Consistent voice and values, (3) Target audience that feels connected, (4) Repeat customers who come back for new drops. Generic stores just sell random designs with no cohesion.",Module 1.3
Brand & Niche,Can I sell to multiple niches?,"Not recommended for your first brand. Focus on ONE niche to build a loyal audience. Once profitable, you can launch a second brand in a different niche. Spreading too thin kills momentum.",Module 1.2
Design Creation,How many designs should I create?,"Start with 100 designs. Launch with 10 in your mockup test, then use catalog ads to test all 100. The more designs you test, the more winners you'll find. Aim to add 20-50 new designs monthly.",Module 2.4
Design Creation,What makes a good vs bad design?,"Good: Lots of negative space (t-shirt shows through), 1-3 colors max, easy to read from distance, clear message, emotionally resonant. Bad: Big blocky ink, too many colors, hard-to-read text, looks like AI slop, too complex. Download the 'Good vs Bad Design PDF' from School Community.",Module 2.1
Design Creation,How long does it take to create 100 designs?,"Using Design GPT and Design Gem: 4-8 hours total. Work in batches of 10-20. Don't try to perfect everything - good enough is good enough. The goal is to TEST designs, not create art.",Module 2.4
Design Creation,Can I use Etsy designs as inspiration?,"Yes, for INSPIRATION only. Never copy/paste designs. Screenshot winning designs on Etsy, analyze patterns (text styles, humor, colors), then create your own unique versions. This is research, not theft.",Module 2.1
Design Creation,Should designs be text-based or graphic-based?,"Both! Test variety: 40% text-only (typography), 40% text + graphic, 20% graphic-heavy. Text-based designs often perform best because they're easy to test variations and clearly communicate the message.",Module 2.1
Design Creation,What if my designs don't sell?,"Most designs won't be winners - that's expected. Out of 100 designs, you might find 5-10 winners. Turn off losers after $50-100 spend with no sales. Keep creating new designs based on winner patterns.",Module 8.5
Products & Store,Which t-shirt provider should I use?,"Gildan 64000, Bella+Canvas or Comfort Colors through Printify. These are premium quality, soft, and have good reviews. Avoid cheap alternatives - quality matters for repeat customers.",Module 3.1
Products & Store,How should I price my products?,"Formula: Base cost × 2.5-3 = Your price. Example: $10 base cost = $25-30 retail. Aim for 40%+ profit margin after all fees. Test $27.99, $32.99, $37.99 - higher prices often convert better (more perceived value).",Module 3.1
Products & Store,How many shirt colors should I offer?,"Start with 4-8 colors per design. Popular choices: Black, White, Navy, Heather Gray. Let data tell you which colors sell, then add more. Too many options can overwhelm customers.",Module 3.1
Products & Store,Should I offer other products besides t-shirts?,"Start with t-shirts only. Once profitable, expand to hoodies, sweatshirts, hats, mugs, etc. But master one product first before diversifying.",Module 3.1
Products & Store,How do I make my store look professional?,"Use Build My POD theme (included), upload high-quality mockups (not flat Printify images), write compelling descriptions (use Email GPT + Claude), add trust badges, optimize for mobile, ensure fast load times (<3 seconds).",Module 4
Products & Store,Do I need a custom domain?,"Yes. yourstore.myshopify.com looks unprofessional. Buy yourbrand.com ($14/year through Shopify or external registrar). .com, .co, .store all work equally well. Also set up support@yourbrand.com for credibility.",Module 4.5
Orders & Fulfillment,How does order fulfillment work?,"Fully automatic: (1) Customer orders on Shopify, (2) Order auto-sends to Printify, (3) Printify prints and ships directly to customer, (4) Customer receives tracking. You never touch inventory. Typical fulfillment: 5-7 business days.",Module 1.1
Orders & Fulfillment,What are shipping costs?,Printify charges $4-6 shipping per item (varies by product/location). You can charge customers $4.87 flat rate or offer free shipping over $50 (increases average order value). Build shipping cost into your pricing.,Module 5.3
Orders & Fulfillment,What if a customer wants a refund?,"Handle case-by-case. Printify's policy: No refunds for customer mistakes, but they reprint for quality issues. Be generous with refunds for your brand reputation. Budget 1-3% of revenue for refunds/replacements.",Module 4.4
Orders & Fulfillment,How do I handle customer service?,"Set up support@yourbrand.com. Respond within 24 hours. Common questions: Where's my order? (provide tracking), What's your return policy? (link to policy), Sizing questions (provide size chart). Once scaling, hire a VA for $5-8/hour.",Module 4.4
Facebook Ads,How much should I spend on ads to start?,Mockup Test: $10/day ($10/day × 10 ads) for 2-3 days = $20-30 total. Catalog Ads: Start at $12.50/day once mockup test identifies winners.,Module 8.2
Facebook Ads,What's a good cost per click (CPC)?,"Target: Under $0.75 (great: $0.50-0.75, acceptable: $0.75-1.00, needs work: over $1.00). If CPC is high, improve ad creative (better mockups), test different copy, or adjust targeting.",Module 10.1
Facebook Ads,What's a good ROAS (Return on Ad Spend)?,Target: 2.5+ ROAS for profitability. Formula: Revenue ÷ Ad Spend. Example: $250 revenue ÷ $100 ad spend = 2.5 ROAS. Under 2.0 ROAS = losing money (after product costs and fees). 3.0+ ROAS = very profitable.,Module 10.3
Facebook Ads,How long until I see results from ads?,Learning phase: 24-48 hours (algorithm learning). Expect few/no sales initially. Real data: After $200-300 spend. Profitable: After $500-1000 spend you'll know if it's working. Give campaigns 3-7 days before major changes.,Module 8.4
Facebook Ads,What if my ads get rejected?,"Common reasons: (1) Too much text in image (keep under 20%), (2) Misleading claims in copy, (3) Incorrect targeting for ad type. Fix the issue noted in rejection reason and republish. Usually approved within hours.",Module 8.4
Facebook Ads,Mockup test vs Catalog ads - what's the difference?,"Mockup Test: Test 1 specific design with 10 custom mockups ($10/day for 2-3 days). Finds your #1 winner. Catalog Ads: Facebook auto-tests all 100+ products ($12.50/day ongoing). Both needed - mockup test first, then catalog ads.",Modules 8 & 9
Facebook Ads,When should I scale my ads?,"Scale when: (1) 3+ days of consistent 2.5+ ROAS, (2) Cost per purchase under $15, (3) At least 10 purchases tracked. Scale slowly: Increase budget 20% every 3 days. Going too fast can destabilize campaigns.",Module 10.4
Email Marketing,Do I really need email marketing?,"Yes! Email = repeat customers and higher lifetime value. Your first sale comes from ads, but sales 2, 3, 4+ come from email. Stores with email make 30-40% more revenue than ad-only stores.",Module 6
Email Marketing,What discount should I offer in my popup?,15% off (WELCOME15 code) is standard and effective. Delivered immediately in welcome email. Don't go higher than 15% for first purchase - you need margin. Repeat customers can get 10% (LOYAL10).,Module 6.2
Email Marketing,How many emails should I send?,"Flows (automated): Welcome (3 emails), Abandoned Cart (3 emails), Post-Purchase (4 emails). Campaigns (manual): 1-2 per month for new product drops or promotions. Don't over-email - quality over quantity.",Module 6.3-6.5
Email Marketing,What's a good email open rate?,"Industry average: 15-25% open rate, 1-3% click rate. If below 15%, improve subject lines (use Email GPT) or clean your list (remove inactive subscribers). Higher open rates = better deliverability.",Module 6
Financials & Profitability,How much profit should I expect per sale?,"Example: $32.99 sale price, minus $10 product cost, minus $5 shipping, minus $1.25 payment fees (2.9% + $0.30), minus $10 ad cost = $6.74 profit (20% margin). Aim for 15-25% profit margins.",Module 10.3
Financials & Profitability,When will I break even on my investment?,"If you invest $500 (setup + initial ad spend), you need $2,500 in revenue at 20% margins to break even. Timeline varies: Some break even in 2-3 weeks, others take 2-3 months. Average: 4-8 weeks to profitability.",Module 10.3
Financials & Profitability,How much can I realistically make?,Year 1 realistic goals: $3K-10K/month revenue ($500-2K/month profit). By month 6-12 if you execute well. Year 2: $10K-30K/month revenue with proper scaling. Eric's brands: $850K revenue in a year (SlothHikingClub).,Module 0.1
Financials & Profitability,What are all the monthly costs?,"Shopify: $29-39, Klaviyo: $0-100 (scales with subscribers), Facebook Ads: $1,500-3,000+ (this is your investment), Domain: $1.17/month ($14/year), Apps/Tools: $0-50. Total overhead: $50-200/month + ad spend.","Modules 5.1, 6.1, 4.5"
